id,sku,name,slug,brand_id,category_id
123,traveler_guitar_ultra_light_bass_4_string_bl.htm,Traveler Guitar Ultra-Light Bass 4-String BL,traveler-guitar-ultra-light-bass-4-string-bl-htm,74,10
124,furch_pioneer_em.htm,Furch Pioneer-EM a,furch-pioneer-em-htm,44,31
125,hoefner_shorty_violin_bass.htm,Höfner Shorty Violin Bass,hoefner-shorty-violin-bass-htm,22,10
126,furch_lj_10_mm_eas_vtc_little_jane.htm,Furch LJ 10-MM EAS-VTC Little Jane,furch-lj-10-mm-eas-vtc-little-jane-htm,44,31
127,hoefner_shorty_turquoise_blue.htm,Höfner Shorty Turquoise Blue,hoefner-shorty-turquoise-blue-htm,22,31
128,journey_instruments_ot990bd_travel_t_style_blonde.htm,Journey Instruments OT990BD Travel T-Style Blonde,journey-instruments-ot990bd-travel-t-style-blonde-htm,69,31
129,traveler_guitar_tr_vaibrant_88_dlx_b.htm,Traveler Guitar TR Vaibrant 88 DLX B,traveler-guitar-tr-vaibrant-88-dlx-b-htm,74,31
130,epiphone_j_45_express_vintage_sunburst.htm,Epiphone J-45 Express Vintage Sunburst,epiphone-j-45-express-vintage-sunburst-htm,16,31
131,hoefner_shorty_bass_turquoise_blue.htm,Höfner Shorty Bass Turquoise Blue,hoefner-shorty-bass-turquoise-blue-htm,22,10
132,taylor_swift_baby_taylor_ts_bt.htm,Taylor Swift Baby Taylor TS-BT,taylor-swift-baby-taylor-ts-bt-htm,10,31
133,hoefner_shorty_guitar_yellow.htm,Höfner Shorty Guitar Yellow,hoefner-shorty-guitar-yellow-htm,22,0
134,harley_benton_custom_line_clgs_10s_travel.htm,Harley Benton Custom Line CLGS-10S Travel,harley-benton-custom-line-clgs-10s-travel-htm,18,31
135,traveler_guitar_ultra_light_acoustic_ab.htm,Traveler Guitar Ultra Light Acoustic AB,traveler-guitar-ultra-light-acoustic-ab-htm,74,31
136,hoefner_shorty_bass_bk.htm,Höfner Shorty Bass BK,hoefner-shorty-bass-bk-htm,22,10
137,journey_instruments_of882c_acacia_acoustic.htm,Journey Instruments OF882C Acacia Acoustic,journey-instruments-of882c-acacia-acoustic-htm,69,31
138,traveler_guitars_travelcaster_deluxe.htm,Traveler Guitar Travelcaster Deluxe,traveler-guitars-travelcaster-deluxe-htm,74,31
140,harley_benton_traveler_e_steel.htm,Harley Benton Traveler-E-Steel,harley-benton-traveler-e-steel-htm,18,31
141,harley_benton_gs_travel_spruce.htm,Harley Benton GS-Travel Spruce,harley-benton-gs-travel-spruce-htm,18,31
142,traveler_guitar_ultra_light_nylon_mahogany.htm,Traveler Guitar Ultra-Light Nylon - Mahogany,traveler-guitar-ultra-light-nylon-mahogany-htm,74,31
143,furch_lj_11_sr_lefthand_little_jane.htm,Furch LJ-11 SR Lefthand Little Jane,furch-lj-11-sr-lefthand-little-jane-htm,44,31
145,furch_pioneer_mm.htm,Furch Pioneer-MM a,furch-pioneer-mm-htm,44,31
146,journey_instruments_oe990bl_travel_el._guitar_fb.htm,Journey Instruments OE990BL Travel El. Guitar FB,journey-instruments-oe990bl-travel-el--guitar-fb-htm,69,31
147,furch_lj_10_lh_w_lrb_vtc.htm,Furch LJ-10-CM LH w/EAS-VTC,furch-lj-10-lh-w-lrb-vtc-htm,44,31
148,steinberger_guitars_gtpro_deluxe_wh.htm,Steinberger Guitars Gt-Pro Deluxe WH,steinberger-guitars-gtpro-deluxe-wh-htm,76,0
149,ibanez_aup10n_olb.htm,Ibanez AUP10N-OLB,ibanez-aup10n-olb-htm,4,26
150,furch_lj_10_w_lr_baggs_eas_vtc.htm,Furch LJ 10-CM EAS-VTC,furch-lj-10-w-lr-baggs-eas-vtc-htm,44,31
151,traveler_guitar_escape_mark_iii_nylon_natural.htm,Traveler Guitar Escape Mark III Nylon Natural,traveler-guitar-escape-mark-iii-nylon-natural-htm,74,31
152,yamaha_jr1.htm,Yamaha JR-,yamaha-jr1-htm,5,31
153,traveler_guitars_eg_1_custom_v2_gloss_black.htm,Traveler Guitar EG-1 Custom V2 Gloss Black,traveler-guitars-eg-1-custom-v2-gloss-black-htm,74,0
154,journey_instruments_oe990bk_travel_el._guitar_bk.htm,Journey Instruments OE990BK Travel El. Guitar BK,journey-instruments-oe990bk-travel-el--guitar-bk-htm,69,31
155,harley_benton_hbcg45.htm,Harley Benton CG-45 NS,harley-benton-hbcg45-htm,18,31
156,traveler_guitars_electric_ultra_light_black.htm,Traveler Guitar Electric Ultra Light Black,traveler-guitars-electric-ultra-light-black-htm,74,31
157,martin_guitars_steel_string_backpacker_guitar.htm,Martin Guitar Steel String Backpacker Guitar,martin-guitars-steel-string-backpacker-guitar-htm,9,31
158,steinberger_guitars_spirit_xt_25_standard_bass_bk.htm,Steinberger Guitars Spirit XT-25 Standard Bass BK,steinberger-guitars-spirit-xt-25-standard-bass-bk-htm,76,10
159,traveler_guitars_electric_ultra_light_lh_mbk.htm,Traveler Guitar Electric Ultra-Light LH MBK,traveler-guitars-electric-ultra-light-lh-mbk-htm,74,31
160,yamaha_apx_t2_dark_red_burst.htm,Yamaha APX T2 Dark Red Burst,yamaha-apx-t2-dark-red-burst-htm,5,31
161,yamaha_apx_t2_natural.htm,Yamaha APX T2 Natural,yamaha-apx-t2-natural-htm,5,31
162,traveler_guitar_ultra_light_acoustic_lefty_ab.htm,Traveler Guitar Ultra-Light Acoustic Lefty AB,traveler-guitar-ultra-light-acoustic-lefty-ab-htm,74,31
163,traveler_guitars_traveler_pro_series_maple_ab.htm,Traveler Guitar Traveler Pro Series Maple AB,traveler-guitars-traveler-pro-series-maple-ab-htm,74,31
164,hoefner_shorty_violin_bass_ct_red.htm,Höfner Shorty Violin Bass CT Red,hoefner-shorty-violin-bass-ct-red-htm,22,10
166,furch_lj_10.htm,Furch LJ 10-CM,furch-lj-10-htm,44,31
167,traveler_guitars_ultra_light_bass_maple_natur.htm,Traveler Guitar Ultra Light Bass Maple Natural,traveler-guitars-ultra-light-bass-maple-natur-htm,74,31
168,flight_mini_bass_pbr.htm,Flight Mini Bass PBR,flight-mini-bass-pbr-htm,77,10
170,harley_benton_travelmate_e.htm,Harley Benton TravelMate-E,harley-benton-travelmate-e-htm,18,31
171,steinberger_guitars_gtpro_deluxe_bk.htm,Steinberger Guitars GT-Pro Deluxe BK,steinberger-guitars-gtpro-deluxe-bk-htm,76,0
172,hoefner_shorty_bk.htm,Höfner Shorty BK,hoefner-shorty-bk-htm,22,31
173,furch_pioneer_em_vtc_a.htm,Furch Pioneer-EM VTC a,furch-pioneer-em-vtc-a-htm,44,31
174,furch_pioneer_cm.htm,Furch Pioneer-CM a,furch-pioneer-cm-htm,44,31
175,ibanez_aup10n_opn.htm,Ibanez AUP10N-OPN,ibanez-aup10n-opn-htm,4,26
179,guild_travel_spruce.htm,Guild Travel Spruce,guild-travel-spruce-htm,21,31
180,hoefner_shorty_deluxe_rd.htm,Höfner Shorty Deluxe RD,hoefner-shorty-deluxe-rd-htm,22,0
181,furch_lj_10_mm_lefthand_mahogany.htm,Furch LJ 10-MM Lefthand Mahogany,furch-lj-10-mm-lefthand-mahogany-htm,44,31
182,taylor_gs_mini_sapele_torrefied_top.htm,Taylor GS Mini Sapele Torrefied Top,taylor-gs-mini-sapele-torrefied-top-htm,10,31
186,taylor_114ce_s_sapele.htm,Taylor 114ce Sapele,taylor-114ce-s-sapele-htm,10,31
